▲ Next.js 16.3.4 (Turbopack)
- Local:         http://localhost:3000
- Network:       http://192.168.1.14:3000
- Environments: .env
✓ Ready in 1223ms
✓ Running next.config.ts took 48ms

 GET /login?callbackUrl=%2Fdashboard 200 in 483ms (next.js: 209ms, proxy.ts: 138ms, application-code: 136ms)
 GET /api/auth/session 200 in 1702ms (next.js: 1632ms, proxy.ts: 8ms, application-code: 63ms)
 GET /api/auth/session 200 in 793ms (next.js: 776ms, proxy.ts: 6ms, application-code: 11ms)
 GET /api/auth/session 200 in 17ms (next.js: 6ms, proxy.ts: 6ms, application-code: 6ms)
 GET /api/auth/session 200 in 24ms (next.js: 9ms, proxy.ts: 6ms, application-code: 8ms)
 GET /login?callbackUrl=%2F 200 in 131ms (next.js: 21ms, proxy.ts: 14ms, application-code: 96ms)
 GET /api/auth/session 200 in 841ms (next.js: 814ms, proxy.ts: 7ms, application-code: 20ms)
 GET /api/auth/session 200 in 26ms (next.js: 8ms, proxy.ts: 8ms, application-code: 10ms)
 GET /api/auth/session 200 in 24ms (next.js: 9ms, proxy.ts: 8ms, application-code: 8ms)
 GET /api/auth/session 200 in 25ms (next.js: 8ms, proxy.ts: 6ms, application-code: 11ms)
 GET /api/auth/providers 200 in 757ms (next.js: 735ms, proxy.ts: 11ms, application-code: 11ms)
 GET /api/auth/csrf 200 in 27ms (next.js: 9ms, proxy.ts: 7ms, application-code: 11ms)
 POST /api/auth/callback/credentials? 200 in 2.6s (next.js: 8ms, proxy.ts: 10ms, application-code: 2.6s)
 GET /api/auth/session 200 in 1117ms (next.js: 765ms, proxy.ts: 38ms, application-code: 314ms)
 GET /login?callbackUrl=%2Fdashboard 307 in 16ms (proxy.ts: 8ms)
 GET /login?callbackUrl=%2Fdashboard 200 in 44ms (next.js: 10ms, proxy.ts: 6ms, application-code: 28ms)
✓ Compiled in 606ms
 GET /login?callbackUrl=%2Fdashboard 200 in 249ms (next.js: 12ms, proxy.ts: 195ms, application-code: 42ms)
 GET /login?callbackUrl=%2Fdashboard 200 in 199ms (next.js: 7ms, proxy.ts: 143ms, application-code: 49ms)
 GET /login?callbackUrl=%2Fdashboard 200 in 50ms (next.js: 5ms, proxy.ts: 9ms, application-code: 36ms)
 GET /login?callbackUrl=%2Fdashboard 200 in 57ms (next.js: 8ms, proxy.ts: 9ms, application-code: 40ms)
 GET /login?callbackUrl=%2Fdashboard 200 in 59ms (next.js: 8ms, proxy.ts: 12ms, application-code: 38ms)
 GET /login?callbackUrl=%2Fdashboard 200 in 59ms (next.js: 7ms, proxy.ts: 12ms, application-code: 40ms)
 GET /login?callbackUrl=%2Fdashboard 200 in 58ms (next.js: 8ms, proxy.ts: 10ms, application-code: 40ms)
 GET /login?callbackUrl=%2Fdashboard 200 in 54ms (next.js: 6ms, proxy.ts: 12ms, application-code: 36ms)
 GET /login?callbackUrl=%2Fdashboard 200 in 55ms (next.js: 8ms, proxy.ts: 8ms, application-code: 39ms)
 GET /login?callbackUrl=%2Fdashboard 200 in 56ms (next.js: 6ms, proxy.ts: 12ms, application-code: 38ms)
 GET /login?callbackUrl=%2Fdashboard 200 in 56ms (next.js: 8ms, proxy.ts: 10ms, application-code: 38ms)
 GET /login?callbackUrl=%2Fdashboard 200 in 56ms (next.js: 6ms, proxy.ts: 10ms, application-code: 41ms)
 GET /login?callbackUrl=%2Fdashboard 200 in 63ms (next.js: 8ms, proxy.ts: 11ms, application-code: 43ms)
 GET /login?callbackUrl=%2Fdashboard 200 in 60ms (next.js: 10ms, proxy.ts: 11ms, application-code: 39ms)
 GET /login?callbackUrl=%2Fdashboard 200 in 52ms (next.js: 7ms, proxy.ts: 9ms, application-code: 36ms)
 GET /login?callbackUrl=%2Fdashboard 200 in 55ms (next.js: 9ms, proxy.ts: 8ms, application-code: 38ms)
 GET /login?callbackUrl=%2Fdashboard 200 in 49ms (next.js: 6ms, proxy.ts: 8ms, application-code: 34ms)
 GET /login?callbackUrl=%2Fdashboard 200 in 63ms (next.js: 7ms, proxy.ts: 15ms, application-code: 41ms)
 GET /login?callbackUrl=%2Fdashboard 200 in 52ms (next.js: 7ms, proxy.ts: 12ms, application-code: 34ms)
 GET /login?callbackUrl=%2Fdashboard 200 in 52ms (next.js: 6ms, proxy.ts: 9ms, application-code: 37ms)
 GET /login?callbackUrl=%2Fdashboard 200 in 57ms (next.js: 7ms, proxy.ts: 9ms, application-code: 40ms)
 GET /login?callbackUrl=%2Fdashboard 200 in 65ms (next.js: 11ms, proxy.ts: 15ms, application-code: 40ms)
 GET /login?callbackUrl=%2Fdashboard 200 in 58ms (next.js: 10ms, proxy.ts: 8ms, application-code: 39ms)
 GET /login?callbackUrl=%2Fdashboard 200 in 50ms (next.js: 9ms, proxy.ts: 10ms, application-code: 32ms)
 GET /login?callbackUrl=%2Fdashboard 200 in 57ms (next.js: 6ms, proxy.ts: 9ms, application-code: 41ms)
 GET /login?callbackUrl=%2Fdashboard 200 in 76ms (next.js: 6ms, proxy.ts: 13ms, application-code: 58ms)
 GET /login?callbackUrl=%2Fdashboard 200 in 56ms (next.js: 6ms, proxy.ts: 10ms, application-code: 40ms)
 GET /login?callbackUrl=%2Fdashboard 200 in 48ms (next.js: 6ms, proxy.ts: 10ms, application-code: 33ms)
 GET /login?callbackUrl=%2Fdashboard 200 in 52ms (next.js: 4ms, proxy.ts: 8ms, application-code: 40ms)
 GET /login?callbackUrl=%2Fdashboard 200 in 65ms (next.js: 7ms, proxy.ts: 12ms, application-code: 46ms)
 GET /login?callbackUrl=%2Fdashboard 200 in 51ms (next.js: 6ms, proxy.ts: 10ms, application-code: 34ms)
 GET /login?callbackUrl=%2Fdashboard 200 in 54ms (next.js: 5ms, proxy.ts: 10ms, application-code: 40ms)
 GET /login?callbackUrl=%2Fdashboard 200 in 55ms (next.js: 7ms, proxy.ts: 11ms, application-code: 37ms)
 GET /login?callbackUrl=%2Fdashboard 200 in 46ms (next.js: 7ms, proxy.ts: 8ms, application-code: 30ms)
 GET /login?callbackUrl=%2Fdashboard 200 in 57ms (next.js: 7ms, proxy.ts: 10ms, application-code: 40ms)
 GET /login?callbackUrl=%2Fdashboard 200 in 58ms (next.js: 8ms, proxy.ts: 10ms, application-code: 41ms)
 GET /login?callbackUrl=%2Fdashboard 200 in 54ms (next.js: 6ms, proxy.ts: 11ms, application-code: 37ms)
 GET /login?callbackUrl=%2Fdashboard 200 in 54ms (next.js: 9ms, proxy.ts: 10ms, application-code: 35ms)
 GET /login?callbackUrl=%2Fdashboard 200 in 51ms (next.js: 8ms, proxy.ts: 8ms, application-code: 35ms)
 GET /login?callbackUrl=%2Fdashboard 200 in 46ms (next.js: 5ms, proxy.ts: 10ms, application-code: 32ms)
 GET /login?callbackUrl=%2Fdashboard 200 in 53ms (next.js: 7ms, proxy.ts: 9ms, application-code: 37ms)
 GET /login?callbackUrl=%2Fdashboard 200 in 56ms (next.js: 8ms, proxy.ts: 8ms, application-code: 40ms)
 GET /login?callbackUrl=%2Fdashboard 200 in 61ms (next.js: 8ms, proxy.ts: 10ms, application-code: 43ms)
 GET /login?callbackUrl=%2Fdashboard 200 in 74ms (next.js: 7ms, proxy.ts: 12ms, application-code: 56ms)
 GET /login?callbackUrl=%2Fdashboard 200 in 65ms (next.js: 8ms, proxy.ts: 9ms, application-code: 47ms)
 GET /login?callbackUrl=%2Fdashboard 200 in 58ms (next.js: 7ms, proxy.ts: 11ms, application-code: 40ms)
 GET /login?callbackUrl=%2Fdashboard 200 in 59ms (next.js: 8ms, proxy.ts: 10ms, application-code: 42ms)
 GET /login?callbackUrl=%2Fdashboard 200 in 52ms (next.js: 8ms, proxy.ts: 9ms, application-code: 35ms)
 GET /login?callbackUrl=%2Fdashboard 200 in 58ms (next.js: 10ms, proxy.ts: 10ms, application-code: 38ms)
 GET /login?callbackUrl=%2Fdashboard 200 in 70ms (next.js: 6ms, proxy.ts: 9ms, application-code: 56ms)
 GET /login?callbackUrl=%2Fdashboard 200 in 58ms (next.js: 7ms, proxy.ts: 15ms, application-code: 36ms)
